Single run time elapsed and average element displacement
over 100 runs for each algorithm on lists of integers of
length n with an element comparator that gives both a 
random result 10% of the time and repeats the previous
result 50% of the time.
==========================================================
 Algorithm    | Time            | Score    | n = 8
 Algorithm    | Time            | Score    | n = 1024

 Mergesort    | 0.001331684s    | 264525   | 
 Quicksort    | 0.001033171s    | 208115   | 
 Bubblesort   | 13.452793768s   | 21047    | 
 TensortBL    | 0.019672577s    | 116840   | 
 RobustsortP  | 0.017528235s    | 192327   | 
 RobustsortB  | 0.022825438s    | 158334   | 
 RobustsortM  | 0.031631765s    | 122512   | 
 RobustsortRP | 0.093026058s    | 162688   | 
 RobustsortRB | 0.10967526s     | 126694   | 
 RobustsortRM | 0.131919203s    | 90300    | 
----------------------------------------------------------
 Algorithm    | Time            | Score    | n = 2048

 Mergesort    | 0.002660556s    | 1062535  | 
 Quicksort    | 0.002462854s    | 840206   | 
 Bubblesort   | 134.773207064s  | 87977    | 
 TensortBL    | 0.055963595s    | 425961   | 
 RobustsortP  | 0.042348373s    | 731536   | 
 RobustsortB  | 0.054674704s    | 607912   | 
 RobustsortM  | 0.082333458s    | 479960   | 
 RobustsortRP | 0.237273315s    | 626142   | 
 RobustsortRB | 0.274846319s    | 491091   | 
 RobustsortRM | 0.346625435s    | 333622   | 

----------------------------------------------------------
 Note: after this point Bubblesort is omitted from the 
 results due to its long run time
----------------------------------------------------------
 Algorithm    | Time            | Score    | n = 4096

 Mergesort    | 0.005942043s    | 4247423  | 
 Quicksort    | 0.005394119s    | 3319827  | 
 TensortBL    | 0.153502134s    | 1577063  | 
 RobustsortP  | 0.09774953s     | 3153973  | 
 RobustsortB  | 0.119230294s    | 2552633  | 
 RobustsortM  | 0.173643397s    | 1994121  | 
 RobustsortRP | 0.586039226s    | 2687189  | 
 RobustsortRB | 0.692494727s    | 2143171  | 
 RobustsortRM | 0.880613715s    | 1314278  | 
----------------------------------------------------------
 Algorithm    | Time            | Score    | n = 8192

 Mergesort    | 0.013548986s    | 17041462 | 
 Quicksort    | 0.013005352s    | 13394776 | 
 TensortBL    | 0.463169809s    | 5988182  | 
 RobustsortP  | 0.245367061s    | 12007383 | 
 RobustsortB  | 0.302308762s    | 9898434  | 
 RobustsortM  | 0.4208429s      | 7951725  | 
 RobustsortRP | 1.531550402s    | 10110706 | 
 RobustsortRB | 1.789757822s    | 7809793  | 
 RobustsortRM | 2.201473668s    | 5181672  | 
----------------------------------------------------------
 Algorithm    | Time            | Score    | n = 16384

 Mergesort    | 0.031012492s    | 68160357 | 
 Quicksort    | 0.029349454s    | 53301096 | 
 TensortBL    | 0.985868398s    | 25078288 | 
 RobustsortP  | 0.615555374s    | 50410789 | 
 RobustsortB  | 0.74278552s     | 40235803 | 
 RobustsortM  | 1.007819879s    | 31488449 | 
 RobustsortRP | 3.144343233s    | 42121317 | 
 RobustsortRB | 3.549654025s    | 31376518 | 
 RobustsortRM | 4.252823697s    | 20608983 | 
----------------------------------------------------------
